slice,ticker,date,time,model,status,status_detail,grid_k_lo,grid_k_hi,grid_k_points,grid_t_lo,grid_t_hi,grid_t_points,n_grid_points,butterfly_violations,butterfly_violation_rate,min_g,calendar_pairs,calendar_crossings,calendar_crossing_rate,max_calendar_crossing,fit_max_calendar_crossing,self_validates,grid_inside_quoted_fraction,butterfly_violations_inside,min_g_inside,calendar_crossings_inside,max_calendar_crossing_inside
daily,AMD,2026-08-14,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4383561644,41,3321,0,0.0000000000,0.1666780440,3240,0,0.0000000000,0.0000000000,0.0008848324,true,0.9728997290,0,0.2376229783,0,0.0000000000
daily,AMD,2026-08-14,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4383561644,41,3321,0,0.0000000000,0.2913186158,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9728997290,0,0.4154352826,0,0.0000000000
daily,AMD,2026-08-14,1530,essvi,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4383561644,41,3321,0,0.0000000000,0.3047420182,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9728997290,0,0.4555296129,0,0.0000000000
daily,AMD,2026-08-14,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4383561644,41,3321,0,0.0000000000,0.3080388074,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9728997290,0,0.4665139963,0,0.0000000000
daily,AMD,2026-08-14,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4383561644,41,3321,0,0.0000000000,0.2860581010,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9728997290,0,0.3905072212,0,0.0000000000
daily,AMD,2026-08-14,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4383561644,41,3321,0,0.0000000000,0.3434268616,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9728997290,0,0.5722172546,0,0.0000000000
daily,AMD,2026-08-17,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.0623251952,3240,0,0.0000000000,0.0000000000,0.0019260971,true,0.9653718759,0,0.3405018024,0,0.0000000000
daily,AMD,2026-08-17,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.3215492596,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9653718759,0,0.5360123784,0,0.0000000000
daily,AMD,2026-08-17,1530,essvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.3350832899,3240,5,0.0015432099,0.0011928131,0.0000387711,false,0.9653718759,0,0.4457270406,0,0.0000000000
daily,AMD,2026-08-17,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.3220462011,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9653718759,0,0.5295653026,0,0.0000000000
daily,AMD,2026-08-17,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.3000269483,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9653718759,0,0.4730616069,0,0.0000000000
daily,AMD,2026-08-17,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4301369863,41,3321,0,0.0000000000,0.3532540107,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9653718759,0,0.5813447493,0,0.0000000000
daily,AMD,2026-08-18,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4273972603,41,3321,0,0.0000000000,0.1699377561,3240,0,0.0000000000,0.0000000000,0.0002617339,true,0.9650707618,0,0.2458194014,0,0.0000000000
daily,AMD,2026-08-18,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4273972603,41,3321,0,0.0000000000,0.2932001827,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9650707618,0,0.5421917445,0,0.0000000000
