slice,ticker,date,time,model,status,status_detail,maturity,t,t_beyond_last_pillar,t_below_first_pillar,spot,strike,forward,discount_factor,barrier_type,barrier_dir,barrier_mult,barrier_level,right,pv,std_err,knock_prob,vanilla_pv,vanilla_std_err,ko_over_vanilla,paths,steps,seed
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,none,,,,C,32.4979355037,0.2209342287,,32.4979355037,0.2209342287,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,none,,,,P,30.6029660533,0.1569218303,,30.6029660533,0.1569218303,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9500000000,482.4195000000,C,20.2961924485,0.2245140087,0.7621246920,32.4979355037,0.2209342287,0.6245379017,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9500000000,482.4195000000,P,0.1082357124,0.0050027539,0.7621246920,30.6029660533,0.1569218303,0.0035367720,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9000000000,457.0290000000,C,29.1946514526,0.2285641250,0.5158495678,32.4979355037,0.2209342287,0.8983540339,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9000000000,457.0290000000,P,1.8018745578,0.0300345065,0.5158495678,30.6029660533,0.1569218303,0.0588790823,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.8500000000,431.6385000000,C,31.8459589596,0.2229714115,0.3069219561,32.4979355037,0.2209342287,0.9799379089,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.8500000000,431.6385000000,P,6.8974116595,0.0643959631,0.3069219561,30.6029660533,0.1569218303,0.2253837634,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.0500000000,533.2005000000,C,0.0979152650,0.0047805909,0.7419819915,32.4979355037,0.2209342287,0.0030129688,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.0500000000,533.2005000000,P,18.0891475141,0.1748130541,0.7419819915,30.6029660533,0.1569218303,0.5910913172,40000,192,20260824
