slice,ticker,date,time,expiry,tenor_years,forward_raw,forward_dea,forward_shift_bp,implied_carry,corrected_quotes,median_eep_call_bp,median_eep_put_bp,max_eep_bp,rounds,skipped_floor,max_forward_shift_bp
daily,AMD,2026-08-14,1530,2026-08-17,0.0082191781,508.0001555275,508.0099500508,0.1928055183,-0.0100576558,94,0.0905689191,2.7018326823,5.2184872295,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-08-19,0.0136986301,507.9278127466,507.9323274037,0.0888838322,0.0202561287,128,0.0865892948,2.1405958976,5.2184872281,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-08-21,0.0191780822,508.1718602863,508.1960934674,0.4768697945,-0.0017905856,125,0.1345504234,5.9167091102,14.8497196318,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-08-24,0.0273972603,508.6960585408,508.7607553141,1.2718158959,-0.0304346772,129,0.1569770062,6.4183013310,18.2084245241,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-08-26,0.0328767123,508.4073443223,508.4352955479,0.5497801309,0.0004083886,113,0.1487669307,4.8548323635,15.3851643953,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-08-28,0.0383561644,508.7913760098,508.8335545612,0.8289950153,-0.0146582027,128,0.1482381443,10.2418156821,26.7189926125,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-09-04,0.0575342466,509.1481474952,509.2354741626,1.7151524146,-0.0108826119,117,0.2776303258,16.0395814095,36.2010230866,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-09-11,0.0767123288,509.4694770780,509.6112167813,2.7821039281,-0.0083171134,130,0.1968577590,15.8006920702,41.3368037860,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-09-18,0.0958904110,509.8745457487,510.0009927818,2.4799636331,-0.0070693950,93,0.2862845455,38.6139859319,57.0077714442,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-09-25,0.1150684932,510.0687176176,510.1818459224,2.2179032148,-0.0026808582,138,0.3620801749,14.7472803991,55.9563529441,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-10-02,0.1342465753,511.0054392121,511.2189591675,4.1784282324,-0.0119863913,148,0.3038883274,17.9583937489,71.1548732505,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-10-16,0.1726027397,511.4750755900,511.6731871945,3.8733383883,-0.0058791953,96,0.3880188491,48.6378869376,95.1655947940,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-11-20,0.2684931507,513.4382741535,513.8530313386,8.0780340288,-0.0055385064,121,0.4874528235,48.4803640726,144.1232223972,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2026-12-18,0.3452054795,514.9224958478,515.5304719398,11.8071379076,-0.0051155561,128,0.3999696620,51.9741393764,180.0238672098,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2027-01-15,0.4219178082,516.9632546863,517.8969866033,18.0618623955,-0.0077779983,131,0.6457374646,59.7830528301,224.0763298331,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2027-02-19,0.5178082192,519.2602009869,520.2379256292,18.8291850684,-0.0076708010,121,0.7733075891,46.8189903124,210.1473514107,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2027-03-19,0.5945205479,520.9165894354,522.1495380473,23.6688298454,-0.0077966301,135,0.7191529101,77.9582672070,299.1357894064,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2027-06-17,0.8410958904,525.9903845996,527.8277115326,34.9308083721,-0.0068884116,147,1.0718557348,95.1395730390,388.8814193452,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2027-09-17,1.0931506849,531.5267279029,534.3015052839,52.2039106462,-0.0070934803,149,1.4175367158,126.8503948905,478.3988914431,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2027-12-17,1.3424657534,536.4626205887,539.8878958215,63.8492804771,-0.0055365866,148,1.7527839276,153.1290790424,557.5034060556,2,0,73.9449270595
daily,AMD,2026-08-14,1530,2028-01-21,1.4383561644,538.6499698312,542.6330131041,73.9449270595,-0.0058262708,151,1.5417553719,164.0852471938,594.2843587772,2,0,73.9449270595
daily,AMD,2026-08-17,1530,2026-08-19,0.0054794521,505.8006842854,505.8127869743,0.2392778283,-0.0714046615,69,0.0448254356,1.1202818262,6.2293513015,2,0,73.8377927569
daily,AMD,2026-08-17,1530,2026-08-21,0.0109589041,506.0754458685,506.1011739221,0.5083837551,-0.0687937274,100,0.0756389354,10.2418081204,16.1203505133,2,0,73.8377927569
