slice,ticker,date,time,model,status,status_detail,slice_index,expiry_date,tenor_years,forward,n_quotes_raw,n_quotes_used,fit_rmse_vol_bp,fit_max_err_bp,lib_rmse_vol_bp,fit_vol_min,fit_vol_max,pillar_vol_min,pillar_vol_max,converged,min_butterfly_g,k_lo,k_hi,n_slices_fitted,n_slices_skipped,self_validates,svi_a,svi_b,svi_rho,svi_m,svi_sigma,ssvi_rho,ssvi_eta,ssvi_gamma,ssvi_theta,ssvi_phi,essvi_theta,essvi_psi,essvi_rho,essvi_eta,essvi_gamma,essvi_tube_clamped
daily,AMD,2026-08-14,1530,svi,ok,,0,2026-08-17,0.0082191781,508.0099500508,328,32,24.1585339621,60.2040401866,24.1585339621,0.3871841825,0.5694937542,0.3840464542,0.5710369262,true,0.2343597904,-0.1212534513,0.0794172441,21,0,true,0.0000000000,0.0192441342,-0.4200957611,-0.0427567810,0.0705512442,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,1,2026-08-19,0.0136986301,507.9323274037,330,54,18.7561516634,54.6113625401,18.7561516634,0.4920978195,0.6252222151,0.4919338647,0.6284018018,true,0.3703866792,-0.1435734980,0.1196645105,21,0,true,0.0000000000,0.0334752783,-0.4969588576,-0.0823803241,0.1141904496,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,2,2026-08-21,0.0191780822,508.1960934674,314,62,47.3249637373,216.1232050788,47.3249637373,0.5322224523,1.1140109458,0.5325569851,1.1068648439,true,0.1042193413,-0.4317747294,0.2461049790,21,0,true,0.0000000000,0.0463204328,-0.5675402137,-0.1239946863,0.1424409682,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,3,2026-08-24,0.0273972603,508.7607553141,288,60,55.0149708275,219.9141855667,54.8025684656,0.4921795025,0.9320484275,0.4831060747,0.9260695697,true,0.1304998549,-0.4317747294,0.2461049790,21,0,true,0.0004187275,0.0455937196,-0.5715845878,-0.1339082202,0.1662039771,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,4,2026-08-26,0.0328767123,508.4352955479,232,47,62.2050321855,212.5907729723,64.9221355588,0.5260284645,0.8528148181,0.5175298362,0.8453819886,true,0.0835608263,-0.4317747294,0.1655916936,21,0,true,0.0000636327,0.0573523193,-0.6539918074,-0.2345226039,0.2082015921,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,5,2026-08-28,0.0383561644,508.8335545612,350,70,44.2702592801,162.2855277748,44.2702592801,0.5480099369,0.7904760824,0.5496504887,0.7879820404,true,0.1975262439,-0.3460169268,0.2899718399,21,0,true,0.0000000000,0.0668585507,-0.5785819328,-0.1852433703,0.2112260951,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,6,2026-09-04,0.0575342466,509.2354741626,330,66,53.4309471768,156.5354969462,53.4309471768,0.5458953771,0.8194018155,0.5498121269,0.8214607440,true,0.1678533477,-0.4490853484,0.3871626758,21,0,true,0.0000000000,0.0819841854,-0.5619483902,-0.2189653817,0.2528212502,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,7,2026-09-11,0.0767123288,509.6112167813,332,77,31.0998399820,71.4504253203,31.0998399820,0.5423227032,0.7658197263,0.5432958397,0.7625589369,true,0.2041172109,-0.4653271192,0.3593964192,21,0,true,0.0000000000,0.1004305292,-0.6504588417,-0.2985928596,0.2957591322,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,8,2026-09-18,0.0958904110,510.0009927818,264,49,22.3911203828,46.9731285558,22.3911203828,0.5480389743,0.7257995230,0.5499087176,0.7273986507,true,0.2893417267,-0.4660916766,0.4626215753,21,0,true,0.0000000000,0.1137470857,-0.6559209514,-0.3369814646,0.3354097655,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,9,2026-09-25,0.1150684932,510.1818459224,332,81,18.3046103380,43.1427776292,18.3046103380,0.5550735995,0.7156455120,0.5545723877,0.7133633507,true,0.3223181865,-0.4981949253,0.3853059837,21,0,true,0.0028004796,0.1211205050,-0.6599925610,-0.3722288790,0.3588322916,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,10,2026-10-02,0.1342465753,511.2189591675,332,62,19.3836087040,70.4665426086,19.5422919592,0.5594170460,0.6625589993,0.5585285030,0.6604461285,true,0.4804905081,-0.4981949253,0.3698521962,21,0,true,0.0000000000,0.1264423785,-0.6588397459,-0.4728691693,0.4416701181,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,11,2026-10-16,0.1726027397,511.6731871945,218,47,10.2861545356,24.2672743697,10.2861545356,0.5666703784,0.6687865414,0.5667581550,0.6684688511,true,0.5451268616,-0.5011138175,0.4593481327,21,0,true,0.0000000000,0.2580100497,-0.8150422532,-0.6071196992,0.3707594664,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,12,2026-11-20,0.2684931507,513.8530313386,226,52,12.1767330814,26.8059993572,12.1767330814,0.6033462102,0.6479861117,0.6015448569,0.6478789337,true,0.8251895254,-0.5053649958,0.4673670469,21,0,true,0.0254763292,0.3718681074,-0.8609510807,-0.7777806258,0.3820066667,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,13,2026-12-18,0.3452054795,515.5304719398,264,52,12.1166489215,38.5333621358,12.1166489215,0.6011132330,0.6333777210,0.6006493184,0.6334020104,true,0.8969824751,-0.5086241157,0.4641079271,21,0,true,0.0317852076,2.0070340380,-0.9732685415,-0.9946270367,0.2016447725,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,14,2027-01-15,0.4219178082,517.8969866033,264,51,8.2700391489,18.0878362252,8.2700391489,0.5980131751,0.6241191867,0.5981126344,0.6251912434,true,0.9102775506,-0.4814553591,0.4595279853,21,0,true,0.0000000000,0.2854527848,-0.7424661129,-1.0016768951,0.7890494951,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,15,2027-02-19,0.5178082192,520.2379256292,158,52,10.5764207014,30.0120976952,10.5764207014,0.6059257078,0.6293014428,0.6055293664,0.6279191312,true,0.9219711427,-0.4859652604,0.4671394446,21,0,true,0.1406820432,0.0796377835,-0.2420003832,-0.2909303249,0.6396376876,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,16,2027-03-19,0.5945205479,522.1495380473,248,48,9.3775258093,22.2160423385,9.3775258093,0.6107000948,0.6289467372,0.6101448804,0.6299400411,true,0.9458904559,-0.4896330224,0.4634716826,21,0,true,0.1384346978,3.3883804191,-0.9856420374,-1.0330713786,0.1455767659,,,,,,,,,,,
