slice,ticker,date,time,model,status,status_detail,grid_levels,grid_times,lv_min,lv_max,lv_mean,clamped_fraction,guard_fraction,roughness_dk,roughness_mean_abs_d2,roughness_max_abs_d2,roughness_mean_abs_d2_per_dk2,lv_analytic_minus_numeric_mean_abs,lv_analytic_minus_numeric_max_abs,rt_points,rt_failures,rt_panics,rt_vs_fit_mean_vol_bp,rt_vs_fit_max_vol_bp,rt_vs_fit_mean_abs_price,rt_vs_fit_max_abs_price,rt_vs_fit_mean_rel_price,rt_vs_mkt_mean_vol_bp,rt_vs_mkt_max_vol_bp,ur_roundtrip_points,ur_roundtrip_failures,ur_roundtrip_mean_vol_bp,ur_roundtrip_max_vol_bp,ur_clamped_fraction,ur_fallback_fraction,ur_within_desk_tolerance,trusted_strike_lo,trusted_strike_hi,trusted_t_lo,trusted_t_hi
daily,AMD,2026-08-14,1530,svi,ok,,81,41,0.0890634633,2.5207309208,0.6441577106,0.0000000000,0.0000000000,0.0100000000,0.0010230471,1.0781425293,10.2304711957,0.0281649634,2.3145199949,15,0,0,21.1411979039,73.3130971952,0.1746013617,0.4654380030,0.0054107510,27.8352200473,116.3049339618,7,0,719.5908119538,1717.4226854593,0.0000000000,0.0000000000,false,450.0000000000,550.0000000000,0.0082191781,1.4383561644
daily,AMD,2026-08-14,1530,ssvi,ok,,81,41,0.3514693185,1.1409354665,0.6332585640,0.0000000000,0.0000000000,0.0100000000,0.0000663945,0.0146720442,0.6639452924,0.0158790282,2.4308383662,15,0,0,35.3299040487,91.1316863273,0.3167460724,0.7061071698,0.0088084782,34.6443883876,127.4278167863,7,0,692.9263564681,1692.5708769804,0.0000000000,0.0000000000,false,450.0000000000,550.0000000000,0.0082191781,1.4383561644
daily,AMD,2026-08-14,1530,essvi,ok,,81,41,0.3614007453,1.5335777646,0.6373958818,0.0000000000,0.0000000000,0.0100000000,0.0000761621,0.0145056294,0.7616211125,0.0192019334,0.9231402547,15,0,0,33.8566397339,74.0836409846,0.3461664007,0.7776006566,0.0079183548,52.6634681639,153.6910276036,7,0,727.9334110127,1748.9868985953,0.0000000000,0.0000000000,false,450.0000000000,550.0000000000,0.0082191781,1.4383561644
daily,AMD,2026-08-14,1530,essvi_g05,ok,,81,41,0.3642570149,1.5010734824,0.6323817662,0.0000000000,0.0000000000,0.0100000000,0.0001026095,0.0132005511,1.0260951507,0.0257756600,0.8823453877,15,0,0,25.1054380698,107.8028477166,0.1815852745,0.5065394696,0.0070390152,97.7359071110,273.1547436839,7,0,710.7854467990,1638.4253254992,0.0000000000,0.0000000000,false,450.0000000000,550.0000000000,0.0082191781,1.4383561644
daily,AMD,2026-08-14,1530,essvi_gfree,ok,,81,41,0.3319048772,1.7290761958,0.6404069893,0.0000000000,0.0000000000,0.0100000000,0.0000982202,0.0263288115,0.9822016185,0.0232390986,2.2922363614,15,0,0,28.1407067723,92.6880937261,0.2532946019,0.4565267498,0.0071556669,51.4520000895,223.7418958271,7,0,672.1910264189,1645.8554472476,0.0000000000,0.0000000000,false,450.0000000000,550.0000000000,0.0082191781,1.4383561644
daily,AMD,2026-08-14,1530,essvi_sg05,ok,,81,41,0.3751046660,1.2123033799,0.6315426051,0.0000000000,0.0000000000,0.0100000000,0.0000552835,0.0056640437,0.5528345460,0.0150999860,1.2508170036,15,0,0,28.7750760381,55.1220035575,0.3141619480,0.8067441499,0.0065008078,49.2472928545,149.6031898247,7,0,785.7930201750,1832.8121383522,0.0000000000,0.0000000000,false,450.0000000000,550.0000000000,0.0082191781,1.4383561644
daily,AMD,2026-08-17,1530,svi,ok,,81,41,0.3996156677,3.0000000000,0.6492244360,0.0045167118,0.0000000000,0.0100000000,0.0005108911,0.1683513095,5.1089108791,0.0342787338,2.0085295416,15,0,0,100.3824071021,149.8202195177,1.0478726276,1.9939852733,0.0229702128,104.7157048888,150.5413154850,5,0,297.9675623611,880.4364847231,0.0045167118,0.0000000000,false,460.0000000000,515.0000000000,0.0054794521,1.4301369863
daily,AMD,2026-08-17,1530,ssvi,ok,,81,41,0.5190357876,1.4426838397,0.6304995037,0.0000000000,0.0000000000,0.0100000000,0.0000679020,0.0087443560,0.6790199095,0.0184415502,1.9958106573,15,0,0,76.4224948208,120.6752765159,0.8005266777,1.6744449344,0.0174960716,67.1866798818,124.7813646498,5,0,299.9115614398,783.3286875912,0.0000000000,0.0000000000,false,460.0000000000,515.0000000000,0.0054794521,1.4301369863
daily,AMD,2026-08-17,1530,essvi,ok,,81,41,0.0100000000,1.8400026390,0.6307268411,0.0024089130,0.0000000000,0.0100000000,0.0001451252,0.1051191607,1.4512516256,0.0254748381,2.0627209372,15,0,0,166.0127747299,273.9107401467,1.5206799042,2.6321312635,0.0402579927,154.0756460186,290.9570559096,5,0,331.7484494091,634.9102281249,0.0024089130,0.0000000000,false,460.0000000000,515.0000000000,0.0054794521,1.4301369863
daily,AMD,2026-08-17,1530,essvi_g05,ok,,81,41,0.5111487623,1.9603780064,0.6362452781,0.0000000000,0.0000000000,0.0100000000,0.0001068875,0.0127050821,1.0688751670,0.0304669426,2.1005443265,15,0,0,127.5695681650,168.4140063581,1.2696174520,2.4367916606,0.0301468775,188.7341923417,258.5672450835,5,0,264.1079217200,576.5422468831,0.0000000000,0.0000000000,false,460.0000000000,515.0000000000,0.0054794521,1.4301369863
