slice,ticker,date,time,model,status,status_detail,holdout_index,n_pillars,expiry_date,tenor_years,forward,n_eval_quotes,gap_lo_years,gap_hi_years,insample_rmse_bp,insample_max_bp,loo_rmse_bp,loo_max_bp,loo_mean_signed_bp,loo_atm_signed_bp,fit_ms
loo,AMD,2026-08-14,1530,svi,ok,,1,21,2026-08-19,0.0136986301,507.9323274037,54,0.0054794521,0.0054794521,18.7561516634,54.6113625401,33.8282591348,129.7554827562,-2.2094872540,6.6456778409,430.7429000000
loo,AMD,2026-08-14,1530,ssvi,ok,,1,21,2026-08-19,0.0136986301,507.9323274037,54,0.0054794521,0.0054794521,173.0503804656,358.4994903284,173.6856935900,357.9298447553,130.6191801201,3.7456049548,5.0913000000
loo,AMD,2026-08-14,1530,essvi,ok,,1,21,2026-08-19,0.0136986301,507.9323274037,54,0.0054794521,0.0054794521,85.2776930056,289.6799454304,135.2779146709,288.1905777908,77.9502913755,6.9277974135,2.0108000000
loo,AMD,2026-08-14,1530,essvi_g05,ok,,1,21,2026-08-19,0.0136986301,507.9323274037,54,0.0054794521,0.0054794521,78.5833254903,252.4020480027,116.8878966178,231.1785171382,18.3536108036,-6.8586945997,15.3262000000
loo,AMD,2026-08-14,1530,essvi_gfree,ok,,1,21,2026-08-19,0.0136986301,507.9323274037,54,0.0054794521,0.0054794521,127.0508710666,210.4269916131,142.5282417574,238.1509379460,9.6519942932,-165.6002184478,23.6007000000
loo,AMD,2026-08-14,1530,essvi_sg05,ok,,1,21,2026-08-19,0.0136986301,507.9323274037,54,0.0054794521,0.0054794521,209.3189408854,633.8849697159,249.0609208153,552.6529120306,-146.5436741049,7.5426282392,2.0048000000
loo,AMD,2026-08-14,1530,svi,ok,,2,21,2026-08-21,0.0191780822,508.1960934674,62,0.0054794521,0.0082191781,47.3249637373,216.1232050788,413.8450037901,859.7414738069,-401.6883686590,-412.6113552313,430.0033000000
loo,AMD,2026-08-14,1530,ssvi,ok,,2,21,2026-08-21,0.0191780822,508.1960934674,62,0.0054794521,0.0082191781,467.6893133670,2420.5993060890,583.5002967346,2810.3101288496,-348.5353920862,-394.5783540402,3.4798000000
loo,AMD,2026-08-14,1530,essvi,ok,,2,21,2026-08-21,0.0191780822,508.1960934674,62,0.0054794521,0.0082191781,377.0967798757,1727.8106044592,595.1764319861,2804.1212864288,-405.4945249838,-391.8677957840,1.8968000000
loo,AMD,2026-08-14,1530,essvi_g05,ok,,2,21,2026-08-21,0.0191780822,508.1960934674,62,0.0054794521,0.0082191781,392.9245053691,2022.4467453182,633.7677147273,2875.4613792858,-456.8206730098,-433.4941962017,15.7610000000
loo,AMD,2026-08-14,1530,essvi_gfree,ok,,2,21,2026-08-21,0.0191780822,508.1960934674,62,0.0054794521,0.0082191781,358.1554758334,1776.5468919245,581.8877281672,2579.9919958129,-422.3857533617,-514.6276140010,16.1580000000
loo,AMD,2026-08-14,1530,essvi_sg05,ok,,2,21,2026-08-21,0.0191780822,508.1960934674,62,0.0054794521,0.0082191781,615.7641240425,2994.6251624646,872.5928487385,3691.9067440410,-650.6865473805,-390.9094028664,2.0862000000
loo,AMD,2026-08-14,1530,svi,ok,,3,21,2026-08-24,0.0273972603,508.7607553141,60,0.0082191781,0.0054794521,55.0149708275,219.9141855667,346.4182958522,530.2336895026,315.0443875451,385.5605754059,466.3686000000
loo,AMD,2026-08-14,1530,ssvi,ok,,3,21,2026-08-24,0.0273972603,508.7607553141,60,0.0082191781,0.0054794521,332.5033690903,1636.2431266371,474.6202523050,1423.9379919767,334.9327381200,318.3117486450,5.2666000000
loo,AMD,2026-08-14,1530,essvi,ok,,3,21,2026-08-24,0.0273972603,508.7607553141,60,0.0082191781,0.0054794521,275.0571469413,1217.1679792894,460.5912950053,1056.0992835918,372.4718662814,314.0665733962,1.8840000000
loo,AMD,2026-08-14,1530,essvi_g05,ok,,3,21,2026-08-24,0.0273972603,508.7607553141,60,0.0082191781,0.0054794521,268.0421334503,1324.0105105267,424.6542144612,1198.6258054713,318.4334996510,291.8718981676,14.1998000000
loo,AMD,2026-08-14,1530,essvi_gfree,ok,,3,21,2026-08-24,0.0273972603,508.7607553141,60,0.0082191781,0.0054794521,254.9914436403,1162.6072099835,412.6225831202,1047.2693879728,316.7376960965,238.6235945849,22.7461000000
loo,AMD,2026-08-14,1530,essvi_sg05,ok,,3,21,2026-08-24,0.0273972603,508.7607553141,60,0.0082191781,0.0054794521,401.5367252037,2036.9106149840,427.1193865022,1927.7287841289,164.5229205078,310.1188527760,1.9676000000
loo,AMD,2026-08-14,1530,svi,ok,,4,21,2026-08-26,0.0328767123,508.4352955479,47,0.0054794521,0.0054794521,62.2050321855,212.5907729723,189.5708826647,752.0590083800,65.2465185880,74.9913255779,426.9190000000
loo,AMD,2026-08-14,1530,ssvi,ok,,4,21,2026-08-26,0.0328767123,508.4352955479,47,0.0054794521,0.0054794521,211.5825534514,931.3449747561,234.6213368484,863.7272094231,99.8694084818,110.7953698762,4.7523000000
loo,AMD,2026-08-14,1530,essvi,ok,,4,21,2026-08-26,0.0328767123,508.4352955479,47,0.0054794521,0.0054794521,204.9425668990,753.6748892466,262.0059959419,747.8512354037,126.6604152302,115.4509046811,1.4550000000
loo,AMD,2026-08-14,1530,essvi_g05,ok,,4,21,2026-08-26,0.0328767123,508.4352955479,47,0.0054794521,0.0054794521,203.0826212926,801.8642263572,236.3815470439,709.9512170579,46.5891829599,18.4468927168,11.9711000000
loo,AMD,2026-08-14,1530,essvi_gfree,ok,,4,21,2026-08-26,0.0328767123,508.4352955479,47,0.0054794521,0.0054794521,199.4907196758,703.5536486619,230.9706476039,749.4949660058,36.7152238196,-21.2884790066,14.9149000000
loo,AMD,2026-08-14,1530,essvi_sg05,ok,,4,21,2026-08-26,0.0328767123,508.4352955479,47,0.0054794521,0.0054794521,327.9982133932,1666.0815622914,315.5604189091,1227.8115695837,-4.2287610295,116.7711983380,1.2620000000
