slice,ticker,date,time,model,status,status_detail,horizon,t,t_beyond_last_pillar,t_below_first_pillar,target_forward,simulated_mean,relative_error,standard_error,z_score,paths,seed,steps_per_year,z_threshold,within_threshold,max_abs_z_all_horizons,mc_mean_spot,mc_relative_error,mc_standard_error,mc_paths,mc_seed,mc_steps,carry_rate,zero_dividend_forward_error,drift_source
daily,AMD,2026-08-14,1530,svi,ok,,1M,0.0833333333,false,false,509.7457823053,509.7513033079,0.0000108309,0.0001851634,0.0584937022,32768,20260824,104,3.0000000000,true,1.7054513573,509.7109542146,-0.0000683244,0.0001485487,40000,20260824,192,0.0456572821,-0.0006513003,parity_forward
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,513.4326328251,513.9628780873,0.0010327455,0.0006055556,1.7054513573,32768,20260824,104,3.0000000000,true,1.7054513573,513.3735860694,-0.0001150039,0.0005257333,40000,20260824,192,0.0440458669,-0.0013845463,parity_forward
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,519.8031798101,519.4741705634,-0.0006329497,0.0012224502,-0.5177713392,32768,20260824,104,3.0000000000,true,1.7054513573,519.3049674619,-0.0009584634,0.0010599499,40000,20260824,192,0.0466857554,-0.0038293087,parity_forward
daily,AMD,2026-08-14,1530,ssvi,ok,,1M,0.0833333333,false,false,509.7457823053,509.7579548690,0.0000238797,0.0001950342,0.1224383840,32768,20260824,104,3.0000000000,true,1.3010183246,509.7485225563,0.0000053757,0.0001648907,40000,20260824,192,0.0456572821,-0.0006513003,parity_forward
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,513.4326328251,513.8522884935,0.0008173529,0.0006282409,1.3010183246,32768,20260824,104,3.0000000000,true,1.3010183246,513.4653562031,0.0000637345,0.0005574148,40000,20260824,192,0.0440458669,-0.0013845463,parity_forward
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,519.8031798101,519.3934262897,-0.0007882859,0.0012025274,-0.6555242887,32768,20260824,104,3.0000000000,true,1.3010183246,519.5106870622,-0.0005626990,0.0010511920,40000,20260824,192,0.0466857554,-0.0038293087,parity_forward
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,509.7457823053,509.7522637835,0.0000127151,0.0001699382,0.0748220170,32768,20260824,104,3.0000000000,true,1.2612518398,509.7296201581,-0.0000317063,0.0001413939,40000,20260824,192,0.0456572821,-0.0006513003,parity_forward
daily,AMD,2026-08-14,1530,essvi,ok,,3M,0.2500000000,false,false,513.4326328251,513.8389579725,0.0007913894,0.0006274634,1.2612518398,32768,20260824,104,3.0000000000,true,1.2612518398,513.4157125611,-0.0000329552,0.0005533371,40000,20260824,192,0.0440458669,-0.0013845463,parity_forward
daily,AMD,2026-08-14,1530,essvi,ok,,6M,0.5000000000,false,false,519.8031798101,519.3749589897,-0.0008238134,0.0012293142,-0.6701406375,32768,20260824,104,3.0000000000,true,1.2612518398,519.4560057756,-0.0006678952,0.0010684867,40000,20260824,192,0.0466857554,-0.0038293087,parity_forward
daily,AMD,2026-08-14,1530,essvi_g05,ok,,1M,0.0833333333,false,false,509.7457823053,509.7633761380,0.0000345149,0.0001716171,0.2011157996,32768,20260824,104,3.0000000000,true,1.3615896843,509.7303936041,-0.0000301890,0.0001429089,40000,20260824,192,0.0456572821,-0.0006513003,parity_forward
daily,AMD,2026-08-14,1530,essvi_g05,ok,,3M,0.2500000000,false,false,513.4326328251,513.9060123174,0.0009219895,0.0006771419,1.3615896843,32768,20260824,104,3.0000000000,true,1.3615896843,513.4589248158,0.0000512083,0.0006088048,40000,20260824,192,0.0440458669,-0.0013845463,parity_forward
daily,AMD,2026-08-14,1530,essvi_g05,ok,,6M,0.5000000000,false,false,519.8031798101,519.4042741478,-0.0007674167,0.0013816176,-0.5554479936,32768,20260824,104,3.0000000000,true,1.3615896843,519.3885724949,-0.0007976237,0.0011656239,40000,20260824,192,0.0466857554,-0.0038293087,parity_forward
daily,AMD,2026-08-14,1530,essvi_gfree,ok,,1M,0.0833333333,false,false,509.7457823053,509.7623943602,0.0000325889,0.0001671502,0.1949677329,32768,20260824,104,3.0000000000,true,1.3800904681,509.7352843347,-0.0000205945,0.0001424292,40000,20260824,192,0.0456572821,-0.0006513003,parity_forward
daily,AMD,2026-08-14,1530,essvi_gfree,ok,,3M,0.2500000000,false,false,513.4326328251,513.8858224826,0.0008826663,0.0006395713,1.3800904681,32768,20260824,104,3.0000000000,true,1.3800904681,513.4521620254,0.0000380365,0.0005713666,40000,20260824,192,0.0440458669,-0.0013845463,parity_forward
daily,AMD,2026-08-14,1530,essvi_gfree,ok,,6M,0.5000000000,false,false,519.8031798101,519.3960218516,-0.0007832926,0.0012553609,-0.6239580497,32768,20260824,104,3.0000000000,true,1.3800904681,519.4552243873,-0.0006693984,0.0010848609,40000,20260824,192,0.0466857554,-0.0038293087,parity_forward
daily,AMD,2026-08-14,1530,essvi_sg05,ok,,1M,0.0833333333,false,false,509.7457823053,509.7880019948,0.0000828250,0.0001620799,0.5110134579,32768,20260824,104,3.0000000000,true,1.5102841374,509.7333434913,-0.0000244020,0.0001385166,40000,20260824,192,0.0456572821,-0.0006513003,parity_forward
daily,AMD,2026-08-14,1530,essvi_sg05,ok,,3M,0.2500000000,false,false,513.4326328251,513.9124522960,0.0009345325,0.0006187792,1.5102841374,32768,20260824,104,3.0000000000,true,1.5102841374,513.4473087930,0.0000285840,0.0005469160,40000,20260824,192,0.0440458669,-0.0013845463,parity_forward
daily,AMD,2026-08-14,1530,essvi_sg05,ok,,6M,0.5000000000,false,false,519.8031798101,519.4605205712,-0.0006592096,0.0012318359,-0.5351440060,32768,20260824,104,3.0000000000,true,1.5102841374,519.4746616017,-0.0006320050,0.0010627744,40000,20260824,192,0.0466857554,-0.0038293087,parity_forward
daily,AMD,2026-08-17,1530,svi,ok,,1M,0.0833333333,false,false,507.7578202701,507.8272931392,0.0001368228,0.0002193570,0.6237450747,32768,20260824,104,3.0000000000,true,1.5164347891,507.8966773620,0.0002734711,0.0002593414,40000,20260824,192,0.0532390041,-0.0012824995,parity_forward
daily,AMD,2026-08-17,1530,svi,ok,,3M,0.2500000000,false,false,511.8333196984,512.2813330031,0.0008753109,0.0005772163,1.5164347891,32768,20260824,104,3.0000000000,true,1.5164347891,511.9216611607,0.0001725981,0.0005468035,40000,20260824,192,0.0497240244,-0.0028254044,parity_forward
daily,AMD,2026-08-17,1530,svi,ok,,6M,0.5000000000,false,false,518.1772472859,517.8110040373,-0.0007067915,0.0011827368,-0.5975897958,32768,20260824,104,3.0000000000,true,1.5164347891,517.9034852773,-0.0005283173,0.0010842049,40000,20260824,192,0.0494986830,-0.0051814056,parity_forward
daily,AMD,2026-08-17,1530,ssvi,ok,,1M,0.0833333333,false,false,507.7578202701,507.7833194916,0.0000502193,0.0001684129,0.2981913277,32768,20260824,104,3.0000000000,true,0.9439193760,507.7541194477,-0.0000072886,0.0001735832,40000,20260824,192,0.0532390041,-0.0012824995,parity_forward
daily,AMD,2026-08-17,1530,ssvi,ok,,3M,0.2500000000,false,false,511.8333196984,512.1235324539,0.0005670064,0.0006006937,0.9439193760,32768,20260824,104,3.0000000000,true,0.9439193760,511.7708258180,-0.0001220981,0.0005570126,40000,20260824,192,0.0497240244,-0.0028254044,parity_forward
daily,AMD,2026-08-17,1530,ssvi,ok,,6M,0.5000000000,false,false,518.1772472859,517.7037568778,-0.0009137615,0.0012178389,-0.7503138897,32768,20260824,104,3.0000000000,true,0.9439193760,517.7040797478,-0.0009131384,0.0010860642,40000,20260824,192,0.0494986830,-0.0051814056,parity_forward
daily,AMD,2026-08-17,1530,essvi,ok,,1M,0.0833333333,false,false,507.7578202701,507.7660277909,0.0000161642,0.0001578441,0.1024063531,32768,20260824,104,3.0000000000,true,1.0154921159,507.8798397364,0.0002403104,0.0003337707,40000,20260824,192,0.0532390041,-0.0012824995,parity_forward
daily,AMD,2026-08-17,1530,essvi,ok,,3M,0.2500000000,false,false,511.8333196984,512.1277468814,0.0005752404,0.0005710247,1.0073826195,32768,20260824,104,3.0000000000,true,1.0154921159,511.8997122232,0.0001297151,0.0006021360,40000,20260824,192,0.0497240244,-0.0028254044,parity_forward
daily,AMD,2026-08-17,1530,essvi,ok,,6M,0.5000000000,false,false,518.1772472859,517.5617520194,-0.0011878084,0.0011696874,-1.0154921159,32768,20260824,104,3.0000000000,true,1.0154921159,517.8850028011,-0.0005639856,0.0011135606,40000,20260824,192,0.0494986830,-0.0051814056,parity_forward
daily,AMD,2026-08-17,1530,essvi_g05,ok,,1M,0.0833333333,false,false,507.7578202701,507.7448146606,-0.0000256138,0.0001325524,-0.1932353499,32768,20260824,104,3.0000000000,true,1.0376995886,507.7835389142,0.0000506514,0.0001679156,40000,20260824,192,0.0532390041,-0.0012824995,parity_forward
daily,AMD,2026-08-17,1530,essvi_g05,ok,,3M,0.2500000000,false,false,511.8333196984,512.1621622783,0.0006424798,0.0006191386,1.0376995886,32768,20260824,104,3.0000000000,true,1.0376995886,511.7918142715,-0.0000810917,0.0005869829,40000,20260824,192,0.0497240244,-0.0028254044,parity_forward
daily,AMD,2026-08-17,1530,essvi_g05,ok,,6M,0.5000000000,false,false,518.1772472859,517.6639481337,-0.0009905860,0.0013324104,-0.7434541797,32768,20260824,104,3.0000000000,true,1.0376995886,517.6416795016,-0.0010335610,0.0011784395,40000,20260824,192,0.0494986830,-0.0051814056,parity_forward
