slice,ticker,date,time,status,status_detail,file,as_of,quote_timestamp,spot,curve_date,n_quotes_raw,n_expiries_raw,n_quotes_used,n_quotes_dropped,drop_unquoted_or_crossed,drop_wide_spread,drop_expiry_window,drop_moneyness_window,drop_in_the_money,drop_vol_out_of_bounds,drop_solver_failed,drop_sparse_expiry,drop_no_forward,n_expiries_used,t_first,t_last,fwd_1M,fwd_3M,fwd_6M,rate_1M,rate_3M,rate_6M,rate_1Y,raw_butterfly_violations,raw_calendar_violations,repair_butterfly_adjustments,repair_calendar_adjustments,repair_dropped_points,repair_max_vol_change,repair_iterations,repair_clean,elapsed_ms
daily,AMD,2026-08-14,1530,ok,,AMD/2026-08-14/1530.json.gz,2026-08-14,2026-08-14 19:29:32,507.8100000000,2026-08-13,6882,24,1165,5717,737,848,740,1710,1682,0,0,0,0,21,0.0082191781,1.4383561644,509.7457823053,513.4326328251,519.8031798101,0.0378391324,0.0385038441,0.0390124368,0.0390923758,346,8,442,11,0,0.3143713332,1,true,20223.9768000000
daily,AMD,2026-08-17,1530,ok,,AMD/2026-08-17/1530.json.gz,2026-08-17,2026-08-17 19:29:22,505.5101000000,2026-08-14,6448,24,960,5488,665,962,641,1661,1559,0,0,0,0,21,0.0054794521,1.4301369863,507.7578202701,511.8333196984,518.1772472859,0.0378391323,0.0384064106,0.0391089318,0.0394088634,281,25,403,42,0,0.3268127514,2,true,22873.0743000000
daily,AMD,2026-08-18,1530,ok,,AMD/2026-08-18/1530.json.gz,2026-08-18,2026-08-18 19:29:29,480.2100000000,2026-08-17,6458,24,1112,5346,540,843,493,1796,1674,0,0,0,0,22,0.0027397260,1.4273972603,481.7841694116,485.3393917297,490.9072826231,0.0378391324,0.0385054512,0.0391105284,0.0396069109,278,13,336,20,0,0.1247472627,1,true,22305.0035000000
daily,AMD,2026-08-19,1530,ok,,AMD/2026-08-19/1530.json.gz,2026-08-19,2026-08-19 19:29:29,466.8200000000,2026-08-18,6618,24,1083,5535,664,809,655,1849,1558,0,0,0,0,21,0.0054794521,1.4246575342,468.4848518416,472.0011142063,477.5955189232,0.0377394528,0.0384080177,0.0390124368,0.0395088736,260,7,365,12,0,0.0717420568,2,true,24351.4769000000
daily,AMD,2026-08-20,1530,ok,,AMD/2026-08-20/1530.json.gz,2026-08-20,2026-08-20 19:29:30,464.7400000000,2026-08-19,6594,24,1031,5563,637,937,485,1795,1709,0,0,0,0,22,0.0027397260,1.4219178082,466.4030420131,469.5981486475,474.8603145237,0.0376397724,0.0384064106,0.0390124368,0.0396034947,275,14,336,19,0,0.2318374013,1,true,22333.4346000000
daily,AMD,2026-08-21,1530,ok,,AMD/2026-08-21/1530.json.gz,2026-08-21,2026-08-21 19:29:23,472.2500000000,2026-08-20,6594,24,1161,5433,683,709,681,1745,1615,0,0,0,0,21,0.0082191781,1.4191780822,473.9354037125,477.3953075815,483.5929648898,0.0379388111,0.0385006299,0.0390124368,0.0392914356,330,5,448,10,0,0.1233702788,2,true,23332.5097000000
daily,AMD,2026-08-24,1538,ok,,AMD/2026-08-24/1538.json.gz,2026-08-24,2026-08-24 19:39:28,456.2200000000,2026-08-21,6318,23,1056,5262,660,761,626,1727,1488,0,0,0,0,20,0.0054794521,1.4109589041,458.2519363299,461.7407953138,467.1835844915,0.0379388111,0.0385996681,0.0391121249,0.0399039828,267,9,359,9,0,0.0766063317,2,true,23602.8658000000
daily,AMD,2026-08-25,1530,ok,,AMD/2026-08-25/1530.json.gz,2026-08-25,2026-08-25 19:29:19,480.4650000000,2026-08-24,6090,23,1166,4924,577,618,483,1686,1560,0,0,0,0,21,0.0027397260,1.4082191781,481.8100144627,485.3834974225,491.1837023634,0.0378391324,0.0385022370,0.0392086152,0.0400020080,257,22,315,22,0,0.1561725721,1,true,23088.4568000000
daily,AMD,2026-08-26,1530,ok,,AMD/2026-08-26/1530.json.gz,2026-08-26,2026-08-26 19:29:22,482.0600000000,2026-08-25,6260,23,1166,5094,617,646,637,1686,1508,0,0,0,0,20,0.0054794521,1.4054794521,483.4137420028,487.6254490756,493.9272595185,0.0378391324,0.0384048035,0.0391105284,0.0397059348,287,13,338,13,0,0.1517485492,1,true,22973.0056000000
daily,AMD,2026-08-27,1530,ok,,AMD/2026-08-27/1530.json.gz,2026-08-27,2026-08-27 19:29:24,471.3800000000,2026-08-26,6036,23,1088,4948,566,676,492,1692,1522,0,0,0,0,21,0.0027397260,1.4027397260,472.6438106281,476.3306346232,481.9413510215,0.0379388111,0.0383073676,0.0390124368,0.0398014811,284,14,385,18,0,0.0980699147,2,true,23446.9081000000
