slice,ticker,date,time,model,n_pillars,n_quotes,dim,cold_ms,cold_iterations,cold_converged,cold_rmse_bp,warm_available,warm_ms,warm_iterations,warm_converged,warm_rmse_bp,warm_x_maxdiff
daily,AMD,2026-08-14,1530,svi,21,1176,,328.5809000000,,true,29.5937238989,false,,,,,
daily,AMD,2026-08-14,1530,ssvi,21,1176,,5.3530000000,,true,189.6522720149,false,,,,,
daily,AMD,2026-08-14,1530,essvi,21,1176,,1.9742000000,,true,140.3438987886,false,,,,,
daily,AMD,2026-08-14,1530,essvi_g05,21,1176,43,23.6202000000,7,true,147.1412952224,false,,,,,
daily,AMD,2026-08-14,1530,essvi_gfree,21,1176,44,24.5893000000,8,true,136.6492292936,false,,,,,
daily,AMD,2026-08-14,1530,essvi_sg05,21,1176,,2.3854000000,91,true,231.2732889442,false,,,,,
daily,AMD,2026-08-17,1530,svi,21,992,,416.2703000000,,true,38.6292562046,false,,,,,
daily,AMD,2026-08-17,1530,ssvi,21,992,,3.7735000000,,true,198.6972961654,false,,,,,
daily,AMD,2026-08-17,1530,essvi,21,992,,3.7332000000,,false,348.9107228588,false,,,,,
daily,AMD,2026-08-17,1530,essvi_g05,21,992,43,21.8410000000,8,true,161.3055429986,true,31.4491000000,11,true,161.3055427161,0.0000003291
daily,AMD,2026-08-17,1530,essvi_gfree,21,992,44,30.2991000000,11,true,154.2707734646,true,31.3883000000,10,true,154.2707735515,0.0000000899
daily,AMD,2026-08-17,1530,essvi_sg05,21,992,,2.0324000000,69,true,204.6754362619,false,,,,,
daily,AMD,2026-08-18,1530,svi,22,1132,,642.0214000000,,true,37.9114987262,false,,,,,
daily,AMD,2026-08-18,1530,ssvi,22,1132,,6.4294000000,,true,196.6842549749,false,,,,,
daily,AMD,2026-08-18,1530,essvi,22,1132,,1.5316000000,,false,105.3665453636,false,,,,,
daily,AMD,2026-08-18,1530,essvi_g05,22,1132,45,29.4052000000,8,true,104.3077311869,false,,,,,
daily,AMD,2026-08-18,1530,essvi_gfree,22,1132,46,32.9243000000,9,true,102.1309953273,false,,,,,
daily,AMD,2026-08-18,1530,essvi_sg05,22,1132,,1.4091000000,88,true,183.9686736904,false,,,,,
daily,AMD,2026-08-19,1530,svi,21,1093,,620.7902000000,,true,31.1822933532,false,,,,,
daily,AMD,2026-08-19,1530,ssvi,21,1093,,7.7982000000,,true,173.9065747765,false,,,,,
daily,AMD,2026-08-19,1530,essvi,21,1093,,1.9056000000,,false,79.2120305929,false,,,,,
daily,AMD,2026-08-19,1530,essvi_g05,21,1093,43,24.6982000000,7,true,84.4161209461,false,,,,,
daily,AMD,2026-08-19,1530,essvi_gfree,21,1093,44,27.5809000000,7,true,82.7666407607,false,,,,,
daily,AMD,2026-08-19,1530,essvi_sg05,21,1093,,1.8603000000,83,true,140.4541573767,false,,,,,
daily,AMD,2026-08-20,1530,svi,22,1050,,385.0928000000,,true,26.8714773846,false,,,,,
daily,AMD,2026-08-20,1530,ssvi,22,1050,,10.7687000000,,true,225.6949669554,false,,,,,
daily,AMD,2026-08-20,1530,essvi,22,1050,,2.6031000000,,false,140.9878178087,false,,,,,
daily,AMD,2026-08-20,1530,essvi_g05,22,1050,45,56.8373000000,17,true,101.4220630171,false,,,,,
daily,AMD,2026-08-20,1530,essvi_gfree,22,1050,46,99.4259000000,26,true,100.4188014991,false,,,,,
daily,AMD,2026-08-20,1530,essvi_sg05,22,1050,,2.3880000000,127,true,211.2492851866,false,,,,,
daily,AMD,2026-08-21,1530,svi,21,1168,,503.8746000000,,true,33.4069670276,false,,,,,
daily,AMD,2026-08-21,1530,ssvi,21,1168,,9.3600000000,,true,206.0011288430,false,,,,,
daily,AMD,2026-08-21,1530,essvi,21,1168,,2.6811000000,,true,91.9672835720,false,,,,,
daily,AMD,2026-08-21,1530,essvi_g05,21,1168,43,23.3738000000,7,true,90.5391621902,false,,,,,
daily,AMD,2026-08-21,1530,essvi_gfree,21,1168,44,25.5611000000,7,true,88.7966015466,false,,,,,
daily,AMD,2026-08-21,1530,essvi_sg05,21,1168,,5.7643000000,84,true,154.1122943737,false,,,,,
daily,AMD,2026-08-24,1538,svi,20,1065,,462.3468000000,,true,27.5792287092,false,,,,,
daily,AMD,2026-08-24,1538,ssvi,20,1065,,8.2880000000,,true,312.7052193396,false,,,,,
daily,AMD,2026-08-24,1538,essvi,20,1065,,1.6409000000,,true,95.6977904360,false,,,,,
daily,AMD,2026-08-24,1538,essvi_g05,20,1065,41,13.5542000000,7,true,97.4469535382,false,,,,,
daily,AMD,2026-08-24,1538,essvi_gfree,20,1065,42,30.1414000000,9,true,92.9083100646,false,,,,,
daily,AMD,2026-08-24,1538,essvi_sg05,20,1065,,1.9620000000,79,true,138.9006689594,false,,,,,
daily,AMD,2026-08-25,1530,svi,21,1188,,468.9986000000,,true,20.9736824701,false,,,,,
daily,AMD,2026-08-25,1530,ssvi,21,1188,,9.1888000000,,true,251.3576645475,false,,,,,
daily,AMD,2026-08-25,1530,essvi,21,1188,,1.4176000000,,true,113.8114390051,false,,,,,
